ID,electricity_consumption
552,206.0
553,206.0
554,203.0
555,201.0
556,246.0
557,216.0
558,210.0
559,304.0
560,324.0
561,217.0
562,222.0
563,213.0
564,218.0
565,255.0
566,228.0
567,226.0
568,266.0
569,233.0
570,236.0
571,261.0
572,330.0
573,268.0
574,274.0
575,344.0
576,309.0
577,506.0
578,394.0
579,455.0
580,379.0
581,459.0
582,373.0
583,387.0
584,307.0
585,270.0
586,268.0
587,271.0
588,274.0
589,269.0
590,267.0
591,264.0
592,263.0
593,260.0
594,270.0
595,330.0
596,318.0
597,466.0
598,404.0
599,492.0
600,305.0
601,247.0
602,249.0
603,387.0
604,258.0
605,316.0
606,261.0
607,304.0
608,291.0
609,328.0
610,234.0
611,234.0
612,310.0
613,311.0
614,268.0
615,265.0
616,309.0
617,310.0
618,281.0
619,413.0
620,393.0
621,359.0
622,379.0
623,278.0
624,238.0
625,254.0
626,226.0
627,246.0
628,211.0
629,207.0
630,213.0
631,215.0
632,218.0
633,219.0
634,216.0
635,220.0
636,231.0
637,254.0
638,248.0
639,255.0
640,250.0
641,241.0
642,261.0
643,239.0
644,270.0
645,258.0
646,277.0
647,268.0
648,241.0
649,240.0
650,246.0
651,223.0
652,234.0
653,217.0
654,212.0
655,212.0
656,288.0
657,226.0
658,214.0
659,223.0
660,218.0
661,220.0
662,213.0
663,209.0
664,211.0
665,208.0
666,206.0
667,212.0
668,214.0
669,208.0
670,210.0
671,222.0
672,203.0
673,203.0
674,202.0
675,203.0
676,203.0
677,263.0
678,202.0
679,252.0
680,204.0
681,240.0
682,219.0
683,232.0
684,227.0
685,216.0
686,201.0
687,202.0
688,204.0
689,206.0
690,206.0
691,204.0
692,204.0
693,205.0
694,204.0
695,207.0
696,201.0
697,204.0
698,201.0
699,206.0
700,204.0
701,204.0
702,202.0
703,204.0
704,202.0
705,204.0
706,204.0
707,207.0
708,205.0
709,205.0
710,204.0
711,204.0
712,205.0
713,210.0
714,206.0
715,207.0
716,207.0
717,207.0
718,317.0
719,276.0
720,265.0
721,246.0
722,228.0
723,231.0
724,230.0
725,268.0
726,376.0
727,370.0
728,248.0
729,229.0
